com.samsung.shealth.rewards,6233003,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,,,,,2023-03-06 12:57:55.669,2023-01-26 17:10:38.254,,,LAST_SLEEP_CHECKING_TIME,,,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal.Temp,2023-03-06 06:00:00.000,f80201ed-c84a-4349-90ed-540d03c75acd,-10000,
,2023-02-20 13:30:00.000,,,,2023-03-07 16:20:01.169,2023-03-07 16:20:01.169,,,goal_sleep_TYPE_GOAL_GOOD_TIME_KEEPING,UTC-0600,1,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-20 04:36:00.000,a154e7be-f55a-43ff-bc6a-3a5009276dd7,1,
,2023-02-11 06:00:00.000,,100003,,2023-03-04 16:11:51.930,2023-02-12 04:28:17.222,,,tracker_pedometer_reward_target_achieved,UTC-0600,"{""mTarget"":6000,""mValue"":6110}",aZEautf6/t,com.sec.android.app.shealth,tracker.pedometer,2023-02-11 06:00:00.000,9324fed9-bb74-44f9-a2fe-d6d91bd2d0ee,1,
,2023-01-27 08:27:00.000,,,,2023-03-07 16:20:01.170,2023-03-07 16:20:01.170,,,goal_sleep_TYPE_GOAL_DAILY_BED_TIME,UTC-0600,1,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-01-27 05:15:00.000,0eb4b083-2c15-4c5e-ad7b-5363674727c1,0,
,2023-02-19 13:38:00.000,,,,2023-03-07 16:20:01.169,2023-03-07 16:20:01.169,,,goal_sleep_TYPE_GOAL_DAILY_BED_TIME,UTC-0600,2,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-19 05:08:00.000,7c9bf426-4e26-41b1-bf02-79935d4166ef,0,
,2023-03-06 12:49:00.000,,,,2023-03-07 16:20:01.168,2023-03-07 16:20:01.168,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,7,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-03-06 09:38:00.000,66e3de90-f5e7-4fdf-95ff-c9f13719b0d2,1,
,2023-03-01 12:49:00.000,,,,2023-03-07 16:20:01.168,2023-03-07 16:20:01.168,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,6,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-03-01 05:59:00.000,e2725633-9f43-4f6c-ae97-f9ff01ca8c70,0,
,2023-02-17 13:09:00.000,,,,2023-03-07 16:20:01.170,2023-03-07 16:20:01.170,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,4,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-17 02:02:00.000,02423ee3-2866-45f3-825a-0b495e07850e,0,
,2023-02-14 12:57:00.000,,,,2023-03-07 16:20:01.170,2023-03-07 16:20:01.170,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,3,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-14 10:36:00.000,346d11a9-33c5-4ee6-b0fe-91fd0e768890,0,
,2023-02-27 12:53:00.000,,,,2023-03-07 16:20:01.169,2023-03-07 16:20:01.169,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,5,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-27 08:51:00.000,33233072-312a-4ccd-b153-81aa455c00c2,0,
,2023-02-12 12:57:00.000,,,,2023-03-07 16:20:01.170,2023-03-07 16:20:01.170,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,2,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-12 08:22:00.000,b529fd7e-0f8c-4dd7-ab44-7763b131fa1a,0,
,2023-02-21 10:50:00.000,,,,2023-03-07 16:20:01.169,2023-03-07 16:20:01.169,,,goal_sleep_TYPE_GOAL_DAILY_BED_TIME,UTC-0600,3,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-21 05:21:00.000,edd106be-e88d-4f14-9d54-2309ad737ce4,1,
,2023-02-08 13:05:00.000,,,,2023-03-07 16:20:01.170,2023-03-07 16:20:01.170,,,goal_sleep_TYPE_GOAL_DAILY_WAKEUP_TIME,UTC-0600,1,aZEautf6/t,com.sec.android.app.shealth,Sleep.Goal,2023-02-08 11:17:00.000,7584fce7-32e2-48db-bbbf-9bc8e7585bff,0,
